#起始的是注释
#ID,转义名,文件名
0,惊讶,od_emotion_0.png
1,撇嘴,od_emotion_1.png
2,色,od_emotion_2.png
3,发呆,od_emotion_3.png
4,得意,od_emotion_4.png
5,流泪,od_emotion_5.png
6,害羞,od_emotion_6.png
7,睡,od_emotion_7.png
8,大哭,od_emotion_8.png
9,尴尬,od_emotion_9.png
10,发怒,od_emotion_10.png
11,呲牙,od_emotion_11.png
12,微笑,od_emotion_12.png
13,难过,od_emotion_13.png
14,酷,od_emotion_14.png
15,冷汗,od_emotion_15.png
16,抓狂,od_emotion_16.png
17,吐,od_emotion_17.png
18,偷笑,od_emotion_18.png
19,可爱,od_emotion_19.png
20,白眼,od_emotion_20.png
21,傲慢,od_emotion_21.png
22,饥饿,od_emotion_22.png
23,困,od_emotion_23.png
24,惊恐,od_emotion_24.png
25,流汗,od_emotion_25.png
26,憨笑,od_emotion_26.png
27,大兵,od_emotion_27.png
28,奋斗,od_emotion_28.png
29,疑问,od_emotion_29.png
30,嘘,od_emotion_30.png
31,晕,od_emotion_31.png
32,折磨,od_emotion_32.png
33,衰,od_emotion_33.png
34,骷髅,od_emotion_34.png
35,再见,od_emotion_35.png
#36,跑,od_emotion_36.png
37,发抖,od_emotion_37.png
38,爱情,od_emotion_38.png
39,跳跳,od_emotion_39.png
#40,晕倒,od_emotion_40.png
41,Q妹,od_emotion_41.png
42,猪头,od_emotion_42.png
43,拥抱,od_emotion_43.png
44,蛋糕,od_emotion_44.png
45,便便,od_emotion_45.png
46,玫瑰,od_emotion_46.png
47,凋谢,od_emotion_47.png
48,示爱,od_emotion_48.png
49,爱心,od_emotion_49.png
50,礼物,od_emotion_50.png
51,太阳,od_emotion_51.png
52,月亮,od_emotion_52.png
53,强,od_emotion_53.png
54,弱,od_emotion_54.png
55,握手,od_emotion_55.png
56,胜利,od_emotion_56.png
57,飞吻,od_emotion_57.png
58,西瓜,od_emotion_58.png
59,抠鼻,od_emotion_59.png
60,鼓掌,od_emotion_60.png
61,糗大了,od_emotion_61.png
62,坏笑,od_emotion_62.png
63,左哼哼,od_emotion_63.png
64,右哼哼,od_emotion_64.png
65,哈欠,od_emotion_65.png
66,鄙视,od_emotion_66.png
67,委屈,od_emotion_67.png
68,快哭了,od_emotion_68.png
69,阴险,od_emotion_69.png
70,亲亲,od_emotion_70.png
71,吓,od_emotion_71.png
72,可怜,od_emotion_72.png
73,菜刀,od_emotion_73.png
74,啤酒,od_emotion_74.png
75,车,od_emotion_75.png
76,抱拳,od_emotion_76.png
77,勾引,od_emotion_77.png
78,拳头,od_emotion_78.png
79,差劲,od_emotion_79.png
80,爱你,od_emotion_80.png
81,不,od_emotion_81.png
82,好,od_emotion_82.png
83,药,od_emotion_83.png
